Activity Level,Health Condition,Meal Type,Dish Name,Calories (in g),Protein (in g),Diet Type,Budget,BMI Goal
Sedentary,Arthritis,Breakfast,Fish Tikka Platter,300,15,Non-Veg,High,Maintain BMI
Sedentary,Arthritis,Breakfast,Quinoa Porridge with Nuts and Fruits,300,11,Veg,High,Maintain BMI
Sedentary,Arthritis,Breakfast,Fish Tikka Platter,300,15,Non-Veg,Low,Maintain BMI
Sedentary,Arthritis,Breakfast,Moong Dal Dosa,210,9,Veg,Low,Decrease BMI
Sedentary,Arthritis,Breakfast,Turkey and Avocado Salad,300,15,Non-Veg,Medium,Maintain BMI
Sedentary,Arthritis,Breakfast,Chia Seed Pudding with Almond Milk,260,8,Veg,Medium,Maintain BMI
Sedentary,Arthritis,Dinner,Grilled Chicken Wrap,300,15,Non-Veg,High,Maintain BMI
Sedentary,Arthritis,Dinner,Mushroom Risotto with Mixed Greens,480,18,Veg,High,Increase BMI
Sedentary,Arthritis,Dinner,Egg and Cheese Muffin,300,15,Non-Veg,Low,Maintain BMI
Sedentary,Arthritis,Dinner,Vegetable Oats Khichdi,270,9,Veg,Low,Maintain BMI
Sedentary,Arthritis,Dinner,Turkey and Avocado Salad,300,15,Non-Veg,Medium,Maintain BMI
Sedentary,Arthritis,Dinner,Mixed Dal with Millet Roti,310,11,Veg,Medium,Maintain BMI
Sedentary,Arthritis,Lunch,Turkey and Avocado Salad,300,15,Non-Veg,High,Maintain BMI
Sedentary,Arthritis,Lunch,Grilled Vegetable and Chickpea Salad,500,19,Veg,High,Increase BMI
Sedentary,Arthritis,Lunch,Chicken Brown Rice Bowl,300,15,Non-Veg,Low,Maintain BMI
Sedentary,Arthritis,Lunch,Vegetable Khichdi with Curd,370,9,Veg,Low,Maintain BMI
Sedentary,Arthritis,Lunch,Chicken Brown Rice Bowl,300,15,Non-Veg,Medium,Maintain BMI
Sedentary,Arthritis,Lunch,Rajma-Chawal with Mixed Salad,400,13,Veg,Medium,Increase BMI
Sedentary,Asthma,Breakfast,Scrambled Eggs with Avocado,360,20,Non-Veg,High,Maintain BMI
Sedentary,Asthma,Breakfast,Mushroom Paneer Wrap,250,10,Veg,High,Maintain BMI
Sedentary,Asthma,Breakfast,Turkey and Avocado Salad,300,15,Non-Veg,Low,Maintain BMI
Sedentary,Asthma,Breakfast,Vegetable Upma,230,7,Veg,Low,Decrease BMI
Sedentary,Asthma,Breakfast,Turkey and Avocado Salad,300,15,Non-Veg,Medium,Maintain BMI
